"Родительская задача","Название","Описание","Чек-лист"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-07-02 [1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)] Забор файлов из каталога обмена/SFTP и оркестрация ночного регламента (Airflow) [ТЗ 4.2.10.2, 4.2.10.3]","DAG Airflow: ожидание файлов, проверка целостности/комплектности, постановка в очередь импорта, повтор при сбое, уведомление администраторов об ошибках. Интеграционный слой изолирован от прикладных модулей шиной, чтобы позднее перейти на API без изменения бизнес-логики.

Пункт ТЗ: 4.2.10.2, 4.2.10.3
Пакет работ: 1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)
Фаза: Фаза 8. Интеграции — пункт чек-листа «Ночной регламент»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Ночной регламент запускается по расписанию без ручных действий
При отсутствии файла система работает на ранее загруженных данных и пишет ошибку в журнал
Замена файлового адаптера на API не затрагивает прикладные сервисы (проверено архитектурным ревью)"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-07-03 [1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)] Импорт первичной и ежесуточной выгрузки: валидация, upsert, идемпотентность, журнал [ТЗ 4.2.1.1, 4.2.10.3]","Разбор CSV, валидация типов/обязательности, upsert по ключу «организация + номер ЛС», повторная загрузка того же файла не создаёт дублей, протокол загрузки (принято/отклонено/причины), данные АИС только для чтения. Объём: ~0,5 млн записей в месяц по группе 1.

Пункт ТЗ: 4.2.1.1, 4.2.10.3
Требования ТЗ: FR-DEBT-01, FR-DBR-01, FR-INT-01, DEBT-T-01, INT-T-01
Пакет работ: 1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)
Фаза: Фаза 8. Интеграции — пункт чек-листа «Импорт выгрузки АИС»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 4 от 23.06.pdf","Повторная загрузка того же файла не меняет данные и не плодит дубли
Журнал загрузки показывает количество принятых и отклонённых строк с причинами
Загрузка 100 тыс. ЛС укладывается в ночное окно на стенде
INT-T-01 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-07-04 [1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)] Кнопка «Обновить сейчас» — внеочередное обновление по одному ЛС [ТЗ 4.2.1.4, 4.2.1.7, 4.2.10.3]","Точка API и кнопка в карточке ЛС: запрос актуальных данных по ЛС вне регламента (механизм на стороне АИС согласуется: внеочередной файл/запрос). Применяется прежде всего для снятия мер при оплате.

Пункт ТЗ: 4.2.1.4, 4.2.1.7, 4.2.10.3
Требования ТЗ: FR-DEBT-06, DEBT-T-06
Пакет работ: 1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)
Фаза: Фаза 8. Интеграции — пункт чек-листа ««Обновить сейчас»»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf","Кнопка доступна в карточке ЛС и создаёт запрос с отслеживаемым статусом
После получения ответа карточка и группы пересчитываются
DEBT-T-06 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-07-05 [1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)] Реактивация карточки из архива и каркас обратного потока [ТЗ 4.4.2, 4.2.10.3]","При повторном появлении ЛС/договора в выгрузке карточка поднимается из «холодного» хранилища с историей, новая не создаётся. Заложить таблицу/очередь исходящих событий для обратной выгрузки в АИС.

Пункт ТЗ: 4.4.2, 4.2.10.3
Пакет работ: 1.7 Интеграция с АИС «Расчет-ЖКУ» (входящий поток)
Фаза: Фаза 8. Интеграции — пункт чек-листа «Реактивация из архива»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf","Повторное появление ЛС в выгрузке восстанавливает архивную карточку с историей
Дубликат карточки по тому же идентификатору не создаётся
Очередь исходящих событий существует и наполняется при изменении статусов"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-08-01 [1.8 Расчёт группы задолженности и рейтинга] Расчёт группы задолженности по услугам/договорам и по ЛС [ТЗ 4.2.1.5]","Для каждого непогашенного начисления дата возникновения = день после окончания срока оплаты периода (например, 26 февраля за январь). Группа услуги/договора — по наиболее раннему непогашенному периоду по шкале НСИ; группа ЛС = максимальная группа среди услуг (для отображения и отчётов, не для автозапуска мер по «младшим» услугам). Пересчёт при каждой загрузке и частичной оплате.

Пункт ТЗ: 4.2.1.5
Требования ТЗ: FR-DEBT-02, DEBT-T-02
Пакет работ: 1.8 Расчёт группы задолженности и рейтинга
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Расчёт группы долга»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png
- UI макеты/16_Настройка правил рейтинга и групп.png
- Референсы программы _Расчет ЖКУ_/Расчет задолженности.jpg
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Расчёт задолженности r99117.pdf
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Ведомость текущей задолженности r99055.pdf","Контрольный пример «7 мес. газ / 1 мес. вода» даёт разные группы услуг и группу ЛС = группе газа
Частичная оплата пересчитывает группу затронутых услуг
Изменения группы пишутся в историю
DEBT-T-02 пройден на контрольном наборе Заказчика"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-08-02 [1.8 Расчёт группы задолженности и рейтинга] Расчёт рейтинга должника A–E с подрейтингами по циклам задолженности [ТЗ 4.2.1.5]","Рейтинг по ЛС: A (группы 1–2), B (группа 3), C (группы 4–5), D (группы 4–5 + отягчающие признаки: не занят в экономике, банкротство ЮЛ, иные по НСИ), E (группа 6). Подрейтинг /N — число циклов попадания в группы за период N; цикл закрывается при остатке ≤ порога. Устойчивая просрочка — не менее M мес.

Пункт ТЗ: 4.2.1.5
Требования ТЗ: FR-DEBT-02, UC-DEBT-02
Пакет работ: 1.8 Расчёт группы задолженности и рейтинга
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Рейтинг A–E»
Макеты/артефакты:
- UI макеты/16_Настройка правил рейтинга и групп.png
- UI макеты/13_Карточка должника.png
- Референсы программы _Расчет ЖКУ_/Дополнительные парамерты лица.jpg","UC-DEBT-02: при признаке «не занят в экономике» и устойчивой просрочке присваивается D
Подрейтинг растёт при повторном цикле задолженности
История рейтинга отображается в карточке"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-08-03 [1.8 Расчёт группы задолженности и рейтинга] Ручная корректировка группы задолженности с причиной [ТЗ 4.2.1.5]","Кнопка «Изменить группу» с обязательной причиной; корректировка не затирается ежедневной загрузкой до отмены или смены оснований; применяются мероприятия, соответствующие новой группе.

Пункт ТЗ: 4.2.1.5
Требования ТЗ: FR-DEBT-09, DEBT-T-09
Пакет работ: 1.8 Расчёт группы задолженности и рейтинга
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Ручная смена группы»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png","Без причины сохранение невозможно
Ночная загрузка не перезаписывает ручную группу
DEBT-T-09 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-09-01 [1.9 Реестр задолженностей по ЛС] Реестр по ЛС — представление «список» на больших объёмах [ТЗ 4.2.1.2]","Колонки: обслуживающая организация, номер ЛС, единый номер ЛС, адрес, должник (ФИО/наименование, ИН/УНП), рейтинг, дата возникновения и сумма (долг + пеня), группа, сценарий, закреплённый специалист, тип собственности, месяцев долга, проживающих, этап воронки. Серверная пагинация и сортировка, поиск по номеру ЛС/ФИО/адресу. Рассчитан на до 1,5 млн ЛС.

Пункт ТЗ: 4.2.1.2
Требования ТЗ: FR-DEBT-03, DEBT-T-03
Пакет работ: 1.9 Реестр задолженностей по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Реестр ЛС: список»
Макеты/артефакты:
- UI макеты/08_Реестр дел — список (все группы).png
- UI макеты/05_Универсальный фильтр реестров.png
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Ведомость текущей задолженности r99055.pdf
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Текущая задолженность на дату r99081.pdf","Открытие реестра на 100 тыс. ЛС без деградации сверх согласованных показателей
Поиск по номеру ЛС с ведущими нулями находит запись
Колонки настраиваются и сохраняются для пользователя
DEBT-T-03 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-09-02 [1.9 Реестр задолженностей по ЛС] Реестр по ЛС — представления «канбан» и «календарь» [ТЗ 4.2.1.1, 4.2.1.2]","Переключение представлений реестра: канбан по этапам воронки (упрощённые колонки в MVP-1, полная воронка — MVP-3) и календарь контрольных дат (истечение срока предупреждения, дедлайны). Группировка по группе задолженности цветом.

Пункт ТЗ: 4.2.1.1, 4.2.1.2
Требования ТЗ: FR-DEBT-07, UC-DEBT-03, DEBT-T-07
Пакет работ: 1.9 Реестр задолженностей по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Реестр ЛС: канбан, календарь»
Макеты/артефакты:
- UI макеты/06_Канбан-доска — все группы.png
- UI макеты/07_Канбан-доска — все группы, все статусы.png
- UI макеты/09_Календарь мероприятий (все группы).png
- canvases/cases-kanban.canvas.tsx","Переключение список/канбан/календарь сохраняет фильтр
UC-DEBT-03: канбан с сохранённым фильтром «группы 3–4 по своей организации»
DEBT-T-07 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-09-03 [1.9 Реестр задолженностей по ЛС] Экспорт реестра и выбор строк для массовых действий [ТЗ 4.2.1.2, 4.2.7.6]","Выделение строк (включая «все по фильтру»), экспорт в XLSX/CSV, панель массовых действий (заглушки мероприятий, наполняются в MVP-2).

Пункт ТЗ: 4.2.1.2, 4.2.7.6
Пакет работ: 1.9 Реестр задолженностей по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Экспорт и массовый выбор»
Макеты/артефакты:
- UI макеты/08_Реестр дел — список (все группы).png","Экспорт учитывает текущий фильтр и контур доступа
Выбор «все по фильтру» работает без загрузки всех строк в браузер
Панель массовых действий доступна по правам роли"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-10-01 [1.10 Карточка задолженности по ЛС] Карточка ЛС: общие сведения, услуги и поставщики с задолженностью [ТЗ 4.2.1.4]","Шапка с датами обновления; общие сведения (номер, ОО, адрес, тип собственности, площадь, комнаты, проживающие); список услуг с долгом и пеней по каждой; список поставщиков с переходом в карточку по договору; плательщик и солидарные должники.

Пункт ТЗ: 4.2.1.4
Пакет работ: 1.10 Карточка задолженности по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Карточка ЛС»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png
- Референсы программы _Расчет ЖКУ_/Карточка ЛС- вкладка услуги.jpg
- Референсы программы _Расчет ЖКУ_/Карточка ЛС- вкладка услуги 2.jpg
- Референсы программы _Расчет ЖКУ_/Редактирование карточки ЛС.jpg","Состав полей соответствует ТЗ 4.2.1.4 и неймингу АИС
Поля из АИС не редактируются
Переход в карточку по договору работает"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-10-02 [1.10 Карточка задолженности по ЛС] История сумм задолженности по периодам и услугам, история группы и рейтинга [ТЗ 4.2.1.4]","Таблица истории долга в разрезе периодов и видов услуг с раздельным основным долгом и пеней (по аналогии с «Расчёт задолженности» АИС); история смены группы и рейтинга. Пересчёт начислений в ПМ не выполняется.

Пункт ТЗ: 4.2.1.4
Пакет работ: 1.10 Карточка задолженности по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «История задолженности»
Макеты/артефакты:
- Референсы программы _Расчет ЖКУ_/Расчет задолженности.jpg
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Расчёт задолженности r99117.pdf
- Референсы программы _Расчет ЖКУ_/Карточка ЛС - вкладка оплата 2.jpg
- Референсы программы _Расчет ЖКУ_/Карточка ЛС - вкладка оплата 3.jpg
- Референсы программы _Расчет ЖКУ_/Карточка ЛС - вкладка оплата 4.jpg
- Референсы программы _Расчет ЖКУ_/Карточка ЛС - вкладка оплата.jpg
- Референсы программы _Расчет ЖКУ_/Распределение оплаты.jpg
- Референсы программы _Расчет ЖКУ_/Форма просмотра обычной квитанции.jpg
- Референсы программы _Расчет ЖКУ_/Форма просмотра квитанции с распределением на конкретную услугу.jpg","Суммы совпадают с загруженными из АИС до копейки
Основной долг и пеня показаны раздельно
История группы/рейтинга содержит дату и основание изменения"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-10-03 [1.10 Карточка задолженности по ЛС] Вкладка «Работа с задолженностью» (лента документов) [ТЗ 4.2.1.4]","Хронология документов: предупреждение, отключение, исполнительная надпись, исковое заявление, закрытие; фильтры по типу, долгу/пене, оплате, датам действия; вложенные вкладки «Невозможность взыскания», «Расчёт задолженности», «Оплата по документу на взыскание». В MVP-1 — каркас, наполнение в MVP-2/3.

Пункт ТЗ: 4.2.1.4
Пакет работ: 1.10 Карточка задолженности по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Лента документов»
Макеты/артефакты:
- Референсы программы _Расчет ЖКУ_/Работа с задолженностью.jpg
- Референсы программы _Расчет ЖКУ_/Работа с задолженностью2 + невозможность взыскания.jpg
- Референсы программы _Расчет ЖКУ_/Оплата по документу на взыскание.jpg
- Референсы программы _Расчет ЖКУ_/Форма просмотра квитанции по документу на взыскание.jpg","Вкладки и фильтры реализованы
Документы из АИС (надписи/иски) отображаются после загрузки
Структура совпадает с референсом АИС"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-10-04 [1.10 Карточка задолженности по ЛС] Контакты должника: типизация, приоритет, три режима источника [ТЗ 4.2.1.4 (учёт контактных данных)]","Множественные контакты (мобильный, городской, e-mail, мессенджер) с приоритетом; контакты из АИС (только чтение, источник и дата обновления) и внесённые в ПМ (с историей, не затираются загрузкой). Режим источника для автодозвона: только ПМ / только АИС / комбинированный. Правило выбора номера — настраиваемое.

Пункт ТЗ: 4.2.1.4 (учёт контактных данных)
Требования ТЗ: FR-DEBT-12
Пакет работ: 1.10 Карточка задолженности по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Контакты должника»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png
- UI макеты/13_Карточка должника.png
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 4 от 23.06.pdf
- Совещания/текст совещаний.pdf","Контакты ПМ не перезаписываются ночной загрузкой
Режим источника переключается и влияет на выборку для обзвона
Изменения контактов пишутся в историю"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-10-05 [1.10 Карточка задолженности по ЛС] Категория должника, признак «наследственное дело», ввод недостающих сведений [ТЗ 4.2.1.4, 4.2.2.3]","Присвоение категории из НСИ; флаг «наследственное дело» с приостановкой автоматических мероприятий (автоснятие при загрузке нового плательщика из АИС); ввод сведений, не относящихся к мастер-данным АИС. Юридически значимые данные (регистрация, собственность, смерть) вручную не вводятся.

Пункт ТЗ: 4.2.1.4, 4.2.2.3
Требования ТЗ: FR-DEBT-11, FR-DEBT-13, FR-DBR-07
Пакет работ: 1.10 Карточка задолженности по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Категория и наследство»
Макеты/артефакты:
- UI макеты/13_Карточка должника.png
- Референсы программы _Расчет ЖКУ_/Дополнительные парамерты лица.jpg","Флаг приостанавливает автосценарии по всем ЛС должника
Флаг снимается автоматически при появлении нового плательщика в выгрузке
Поля АИС недоступны для редактирования"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-10-06 [1.10 Карточка задолженности по ЛС] Вложения и история изменений карточки [ТЗ 4.2.1.4, FR-DEBT-05, FR-DEBT-10]","Прикрепление файлов (сканы, аудио) к карточке с типом документа; журнал изменений «до/после, автор, дата-время».

Пункт ТЗ: 4.2.1.4, FR-DEBT-05, FR-DEBT-10
Требования ТЗ: FR-DEBT-05, FR-DEBT-10
Пакет работ: 1.10 Карточка задолженности по ЛС
Фаза: Фаза 1. Реестр ЛС — пункт чек-листа «Вложения и история»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png","Файлы загружаются, скачиваются и привязаны к типу документа
История показывает все ручные изменения
DEBT-T-05 (в части вложений) пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-11-01 [1.11 Реестр и карточка задолженностей по договорам (контур поставщика)] Реестр задолженностей по договорам [ТЗ 4.2.2.1, 4.2.2.2]","Реестр в разрезе услуг конкретного поставщика: ИН/УНП, ФИО/наименование, количество ЛС с долгом по схемам/ОО и группам, суммы долга/пени, суммарный долг, самый ранний период, категория; дополнительные поля договора (номер/дата, услуга, первоначальные суммы, остатки по периодам, срок погашения, последняя оплата). Представления список/канбан/календарь.

Пункт ТЗ: 4.2.2.1, 4.2.2.2
Требования ТЗ: FR-DBR-04, UC-DBR-01, DBR-T-04
Пакет работ: 1.11 Реестр и карточка задолженностей по договорам (контур поставщика)
Фаза: Фаза 2. Договоры — пункт чек-листа «Реестр договоров»
Макеты/артефакты:
- UI макеты/08_Реестр дел — список (все группы).png
- UI макеты/05_Универсальный фильтр реестров.png
- Референсы программы _Расчет ЖКУ_/Форма просмотра квитанции на услуги поставщика.jpg","Поставщик видит только свои услуги (UC-DBR-01)
Суммы корректны в разрезе ЛС, ОО, схемы
DBR-T-04 пройден"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-11-02 [1.11 Реестр и карточка задолженностей по договорам (контур поставщика)] Карточка задолженности по договору [ТЗ 4.2.2.3]","Сведения о лице (ФЛ: ФИО, дата рождения, адрес регистрации, место работы; ЮЛ: наименование, УНП, адрес, статус), список регистраций (тип лица, родство, член семьи), доп. параметры регистрации, контакты, мероприятия по договору, признак «наследственное дело».

Пункт ТЗ: 4.2.2.3
Требования ТЗ: FR-DBR-03, FR-DBR-05, DBR-T-03
Пакет работ: 1.11 Реестр и карточка задолженностей по договорам (контур поставщика)
Фаза: Фаза 2. Договоры — пункт чек-листа «Карточка договора»
Макеты/артефакты:
- UI макеты/13_Карточка должника.png
- Референсы программы _Расчет ЖКУ_/Карточка регистрации или плательщика_физ.лицо1 .jpg
- Референсы программы _Расчет ЖКУ_/Карточка регистрации или плательщика_физ.лицо2.jpg
- Референсы программы _Расчет ЖКУ_/Карточка регистрации или плательщика_физ.лицо3.jpg
- Референсы программы _Расчет ЖКУ_/Карточка регистрации или плательщика_Юр.лицо.jpg
- Референсы программы _Расчет ЖКУ_/Дополнительные парамерты лица.jpg","Состав полей соответствует ТЗ 4.2.2.3
Доступ к иным услугам начисляющей организации отсутствует
История изменений ведётся (DBR-T-03)"
"MVP-1. Платформа, НСИ, администрирование, обмен с АИС «Расчет-ЖКУ», реестры и карточки","M1-11-03 [1.11 Реестр и карточка задолженностей по договорам (контур поставщика)] Группы по договорам и порядок работы поставщика [ТЗ 4.2.2.4]","Группа и сценарии определяются по каждой услуге/договору поставщика; предупреждения и задания на приостановление — только по своим услугам; подтверждение приостановления/возобновления — в ПМ и/или по данным АИС.

Пункт ТЗ: 4.2.2.4
Требования ТЗ: DBR-T-01, DBR-T-02
Пакет работ: 1.11 Реестр и карточка задолженностей по договорам (контур поставщика)
Фаза: Фаза 2. Договоры — пункт чек-листа «Группы по договорам»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Группа договора рассчитывается независимо от других услуг ЛС
Поставщик не может инициировать мероприятие по чужой услуге
DBR-T-01/02 пройдены"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-01-01 [2.1 Ядро мероприятий и реестр мероприятий] Модель мероприятий: списочные и частные, статусная модель [ТЗ 4.2.3.1]","Сущности «списочное» (партия) и «частное» мероприятие; статусы частного: Назначено, Выполняется, Завершено, Прервано пользователем, Завершено с ошибкой; статус партии рассчитывается по частным. Единый нейминг действий независимо от результата (замечания 20 июля).

Пункт ТЗ: 4.2.3.1
Пакет работ: 2.1 Ядро мероприятий и реестр мероприятий
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Модель мероприятий»
Макеты/артефакты:
- UI макеты/03_Реестр мероприятий.png
- Совещания/20 июля замечания.pdf
- Основные документы/План реализации проекта ЕРИП.docx","Статус партии пересчитывается при изменении любого частного мероприятия
Все переходы статусов фиксируются с автором и временем
Типы мероприятий берутся из справочника НСИ"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-01-02 [2.1 Ядро мероприятий и реестр мероприятий] Реестр мероприятий [ТЗ 4.2.3.6]","Список партий и частных мероприятий: тип, период, статус, инициатор, исполнитель, прогресс партии, вложения (документы, аудио, файлы распознавания ответов). Фильтры: тип, статус, организация, период, ЛС. Ручное завершение/прерывание частного мероприятия из его настроек (например, должник перезвонил сам) — вместо чекбоксов в списке.

Пункт ТЗ: 4.2.3.6
Пакет работ: 2.1 Ядро мероприятий и реестр мероприятий
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Реестр мероприятий»
Макеты/артефакты:
- UI макеты/03_Реестр мероприятий.png
- UI макеты/05_Универсальный фильтр реестров.png
- Совещания/20 июля замечания.pdf
- Совещания/замечания 17 июля кратко.docx","Реестр открывается на 10 тыс.+ частных мероприятий без деградации
Частное мероприятие можно завершить/прервать вручную с причиной
Из реестра есть переход в карточку ЛС"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-01-03 [2.1 Ядро мероприятий и реестр мероприятий] Правила видимости мероприятий [ТЗ 4.2.3.1, 4.2.3.7]","Системные списочные мероприятия видны всем пользователям организации, но состав ЛС — по правам на ЛС; мероприятия по ЛС видны всем с доступом к схеме и ОО независимо от создателя; мероприятия поставщика (принятие задания) видны только пользователям поставщика со статусом выполнения; сквозная видимость принятых мер для исключения дублирования.

Пункт ТЗ: 4.2.3.1, 4.2.3.7
Пакет работ: 2.1 Ядро мероприятий и реестр мероприятий
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Видимость мероприятий»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Автотесты видимости для каждой роли Приложения 1
Пользователь не видит ЛС чужой ОО внутри общей партии
Специалист видит меры, принятые другими подразделениями по его ЛС"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-01-04 [2.1 Ядро мероприятий и реестр мероприятий] Мероприятия в карточке ЛС и наполнение ленты «Работа с задолженностью» [ТЗ 4.2.1.4, 4.2.3.6]","Блок активных/завершённых мероприятий в карточке ЛС с переходом в реестр мероприятий; документы предупреждений и отключений попадают в ленту «Работа с задолженностью».

Пункт ТЗ: 4.2.1.4, 4.2.3.6
Пакет работ: 2.1 Ядро мероприятий и реестр мероприятий
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Мероприятия в карточке»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png
- Референсы программы _Расчет ЖКУ_/Работа с задолженностью.jpg","В карточке видны все мероприятия по ЛС с их статусами
Созданное предупреждение/отключение отображается в ленте документов
Вложения доступны из карточки"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-02-01 [2.2 Запуск мероприятий из реестра] Массовый запуск мероприятий по списку ЛС/договоров [ТЗ 4.2.1.2]","Из реестра по выбранным ЛС: уведомление (канал, шаблон, условия), предупреждение (шаблон → пакет PDF), отключение (услуги, поставщик), инициирование взыскания (передача в ЮС: исполнитель, сроки), смена сценария (сценарий, дата начала). Автообзвон подключается в MVP-3. Проверка прав и одной схемы.

Пункт ТЗ: 4.2.1.2
Требования ТЗ: FR-DEBT-04, UC-DEBT-01, DEBT-T-04
Пакет работ: 2.2 Запуск мероприятий из реестра
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Массовый запуск»
Макеты/артефакты:
- UI макеты/08_Реестр дел — список (все группы).png
- UI макеты/01_Канбан-доска по группе (Группа 2).png
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Каждое действие создаёт списочное мероприятие с частными по выбранным ЛС
ЛС без нужного контакта исключаются с отчётом о причинах
UC-DEBT-01 (для доступных в MVP-2 каналов) и DEBT-T-04 пройдены"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-02-02 [2.2 Запуск мероприятий из реестра] Запуск мероприятия по одному ЛС из карточки [ТЗ 4.2.1.2, FR-DEBT-04]","Те же действия из карточки ЛС/договора, в т.ч. с обязательным выбором услуг для приостановления, надписи и иска.

Пункт ТЗ: 4.2.1.2, FR-DEBT-04
Пакет работ: 2.2 Запуск мероприятий из реестра
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Запуск из карточки»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png","Для отключения/надписи/иска выбор услуг обязателен
Созданное мероприятие сразу видно в карточке
Права проверяются на сервере"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-02-03 [2.2 Запуск мероприятий из реестра] Смена/назначение сценария пользователем [ТЗ 4.2.1.2]","Изменение автоматически назначенного сценария или назначение нового по ЛС/списку с датой начала; история смены сценариев.

Пункт ТЗ: 4.2.1.2
Пакет работ: 2.2 Запуск мероприятий из реестра
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Смена сценария»
Макеты/артефакты:
- UI макеты/04_Конструктор сценариев и шаблонов.png","Новый сценарий стартует с указанной даты
Предыдущий сценарий корректно останавливается
История смены сценариев видна в карточке"
"MVP-2. Мероприятия и коммуникации, шаблоны, конструктор сценариев, задания","M2-03-01 [2.3 Рассылка уведомлений по e-mail (SMTP)] Адаптер SMTP и настройки отправителя по организациям [ТЗ 4.2.10.7]","Отправка через SMTP-сервер Заказчика с индивидуальным отправителем (адрес, имя, подпись) для каждой начисляющей организации: «боевой» ящик или технический без обработки ответов. Настройки — во вкладке модуля интеграций.

Пункт ТЗ: 4.2.10.7
Требования ТЗ: FR-INT-08, INT-T-08
Пакет работ: 2.3 Рассылка уведомлений по e-mail (SMTP)
Фаза: Фаза 8. Интеграции — пункт чек-листа «Адаптер SMTP»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 4 от 23.06.pdf
- Совещания/20 июля замечания.pdf","Для двух организаций письма уходят с разными отправителями
Параметры SMTP меняются без перевыпуска
INT-T-08 пройден на стенде"
